"","year","acres"
"1",1931,116700
"2",1932,148374
"3",1933,145681
"4",1934,147879
"5",1935,176340
"6",1936,143076
"7",1937,196543
"8",1938,170045
"9",1939,171799
"10",1940,187641
"11",1941,187858
"12",1942,171554
"13",1943,168587
"14",1944,120374
"15",1945,113528
"16",1946,198587
"17",1947,199532
"18",1948,115794
"19",1949,103895
"20",1950,117317
"21",1951,97802
"22",1952,107731
"23",1953,92839
"24",1954,83098
"25",1955,81291
"26",1956,73170
"27",1957,61876
"28",1958,64654
"29",1959,67812
"30",1960,76653
"31",1961,66582
"32",1962,73351
"33",1963,75531
"34",1964,68672
"35",1965,58816
"36",1966,74706
"37",1967,73768
"38",1968,68748
"39",1969,71246
"40",1970,66094
"41",1971,69280
"42",1972,60679
"43",1973,52406
"44",1974,58024
"45",1975,51243
"46",1976,62960
"47",1977,65563
"48",1978,64423
"49",1979,57859
"50",1980,66287
"51",1981,70367
"52",1982,59036
"53",1983,47516
"54",1984,53374
"55",1985,61834
"56",1986,58747
"57",1987,63389
"58",1988,63254
"59",1989,48513
"60",1990,68230
"61",1991,62529
"62",1992,59963
"63",1993,52077
"64",1994,70061
"65",1995,53402
"66",1996,66094
"67",1997,64246
"68",1998,50754
"69",1999,65367
"70",2000,85647
"71",2001,66835
"72",2002,78799
"73",2003,66119
"74",2004,81279
"75",2005,86816
"76",2006,91779
"77",2007,86459
"78",2008,68109
"79",2009,68816
